time_s,level_cm_raw,level_cm_smooth,delta_h_cm,delta_V_mL,confidence
0.000,14.146,14.147,-2.518,-160.21,0.999
0.100,14.156,14.146,-2.519,-160.27,1.000
0.200,14.156,14.147,-2.519,-160.23,1.000
0.300,14.146,14.149,-2.517,-160.10,1.000
0.400,14.146,14.140,-2.525,-160.66,1.000
0.500,14.165,14.045,-2.621,-166.74,0.999
0.600,14.146,14.080,-2.585,-164.45,1.000
0.701,14.165,14.219,-2.446,-155.63,1.000
0.801,14.165,14.456,-2.210,-140.58,1.000
0.901,14.305,14.753,-1.913,-121.69,0.824
1.001,15.518,15.066,-1.600,-101.76,0.767
1.101,15.604,15.376,-1.290,-82.04,0.768
1.201,15.759,15.648,-1.018,-64.73,0.705
1.301,15.759,15.843,-0.822,-52.32,0.703
1.401,15.785,15.920,-0.745,-47.40,0.808
1.501,15.904,15.907,-0.758,-48.22,0.980
1.601,15.887,15.925,-0.741,-47.13,0.966
1.701,15.921,15.890,-0.775,-49.33,0.949
1.801,15.929,15.821,-0.845,-53.74,0.785
1.901,15.921,15.724,-0.942,-59.92,0.813
2.001,15.255,15.627,-1.038,-66.06,0.650
2.102,15.405,15.567,-1.098,-69.87,0.650
2.202,15.457,15.558,-1.108,-70.48,0.650
2.302,15.596,15.592,-1.073,-68.27,0.650
2.402,15.759,15.686,-0.979,-62.31,0.652
2.502,15.895,15.845,-0.820,-52.16,0.663
2.602,16.014,15.976,-0.690,-43.88,0.679
2.702,16.056,16.110,-0.556,-35.35,0.662
2.802,16.215,16.232,-0.434,-27.60,0.688
2.902,16.347,16.354,-0.311,-19.81,0.691
3.002,16.478,16.476,-0.189,-12.05,0.686
3.102,16.617,16.598,-0.067,-4.28,0.666
3.202,16.713,16.711,0.045,2.87,0.667
3.302,16.802,16.791,0.126,8.00,0.666
3.402,16.849,16.780,0.115,7.31,0.671
3.503,16.905,16.771,0.106,6.74,0.598
3.603,16.905,16.891,0.226,14.36,0.524
